Case_ID,variant,variant_index,creator,Activity,Resource,Activity_1,Resource_1,org_group,End_Time,Start_Time
1-172473423,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-03T06:10:59.000,2011-09-03T06:10:59.000
1-172473423,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-01-18T07:20:53.000,2012-01-18T07:20:53.000
1-172473423,Variant 23,23,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-01-18T07:21:10.000,2012-01-18T07:21:10.000
1-182640781,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Niklas-Org line A2,Accepted-In Progress,Niklas,Org line A2,2007-07-25T13:21:05.000,2007-07-25T13:21:05.000
1-182640781,Variant 37,37,Fluxicon Disco,Accepted-Wait,Niklas-Org line A2,Accepted-Wait,Niklas,Org line A2,2009-12-02T13:24:32.000,2009-12-02T13:24:32.000
1-182640781,Variant 37,37,Fluxicon Disco,Queued-Awaiting Assignment,Niklas-Org line A2,Queued-Awaiting Assignment,Niklas,Org line A2,2010-08-25T10:13:01.000,2010-08-25T10:13:01.000
1-182640781,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Niklas-Org line A2,Accepted-In Progress,Niklas,Org line A2,2011-09-05T08:24:13.000,2011-09-05T08:24:13.000
1-182640781,Variant 37,37,Fluxicon Disco,Accepted-Assigned,Niklas-Org line A2,Accepted-Assigned,Niklas,Org line A2,2011-11-14T15:10:25.000,2011-11-14T15:10:25.000
1-182640781,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Niklas-Org line A2,Accepted-In Progress,Niklas,Org line A2,2012-01-03T10:30:35.000,2012-01-03T10:30:35.000
1-182640781,Variant 37,37,Fluxicon Disco,Completed-Closed,Niklas-Org line A2,Completed-Closed,Niklas,Org line A2,2012-01-03T10:31:53.000,2012-01-03T10:31:53.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2008-05-07T17:58:51.000,2008-05-07T17:58:51.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2008-10-06T15:44:37.000,2008-10-06T15:44:37.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:34.000,2009-12-02T13:24:34.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-01T23:27:50.000,2011-09-01T23:27:50.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-01T23:27:55.000,2011-09-01T23:27:55.000
1-230541365,Variant 79,79,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-01-20T06:53:32.000,2012-01-20T06:53:32.000
1-230541365,Variant 79,79,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-01-20T06:53:35.000,2012-01-20T06:53:35.000
1-236817141,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2008-06-04T11:02:18.000,2008-06-04T11:02:18.000
1-236817141,Variant 37,37,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:34.000,2009-12-02T13:24:34.000
1-236817141,Variant 37,37,Fluxicon Disco,Queued-Awaiting Assignment,Tomas-Org line A2,Queued-Awaiting Assignment,Tomas,Org line A2,2010-08-25T10:06:45.000,2010-08-25T10:06:45.000
1-236817141,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-03T07:02:11.000,2011-09-03T07:02:11.000
1-236817141,Variant 37,37,Fluxicon Disco,Accepted-Assigned,Niklas-Org line A2,Accepted-Assigned,Niklas,Org line A2,2011-11-14T15:09:27.000,2011-11-14T15:09:27.000
1-236817141,Variant 37,37,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2012-01-05T13:08:18.000,2012-01-05T13:08:18.000
1-236817141,Variant 37,37,Fluxicon Disco,Completed-Closed,Tomas-Org line A2,Completed-Closed,Tomas,Org line A2,2012-01-05T13:09:00.000,2012-01-05T13:09:00.000
1-270399977,Variant 80,80,Fluxicon Disco,Accepted-In Progress,Juan-Org line V7n,Accepted-In Progress,Juan,Org line V7n,2008-11-13T08:43:32.000,2008-11-13T08:43:32.000
1-270399977,Variant 80,80,Fluxicon Disco,Accepted-In Progress,Juan-Org line V7n,Accepted-In Progress,Juan,Org line V7n,2012-01-30T09:56:24.000,2012-01-30T09:56:24.000
1-270399977,Variant 80,80,Fluxicon Disco,Accepted-In Progress,Juan-Org line V7n,Accepted-In Progress,Juan,Org line V7n,2012-01-30T10:12:05.000,2012-01-30T10:12:05.000
1-270399977,Variant 80,80,Fluxicon Disco,Queued-Awaiting Assignment,Earl-Org line V7n,Queued-Awaiting Assignment,Earl,Org line V7n,2012-02-16T13:52:16.000,2012-02-16T13:52:16.000
1-270399977,Variant 80,80,Fluxicon Disco,Accepted-In Progress,Juan-Org line V7n,Accepted-In Progress,Juan,Org line V7n,2012-02-16T14:09:17.000,2012-02-16T14:09:17.000
1-270399977,Variant 80,80,Fluxicon Disco,Queued-Awaiting Assignment,Earl-Org line V7n,Queued-Awaiting Assignment,Earl,Org line V7n,2012-02-16T14:09:43.000,2012-02-16T14:09:43.000
1-270399977,Variant 80,80,Fluxicon Disco,Accepted-In Progress,Juan-Org line V7n,Accepted-In Progress,Juan,Org line V7n,2012-02-16T14:10:10.000,2012-02-16T14:10:10.000
1-270399977,Variant 80,80,Fluxicon Disco,Completed-Closed,Juan-Org line V7n,Completed-Closed,Juan,Org line V7n,2012-03-19T08:26:32.000,2012-03-19T08:26:32.000
1-270427461,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2008-11-13T10:01:04.000,2008-11-13T10:01:04.000
1-270427461,Variant 23,23,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:35.000,2009-12-02T13:24:35.000
1-270427461,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-11-14T14:57:27.000,2011-11-14T14:57:27.000
1-270427461,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-01-18T09:17:14.000,2012-01-18T09:17:14.000
1-270427461,Variant 23,23,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-01-18T09:19:21.000,2012-01-18T09:19:21.000
1-310231291,Variant 4,4,Fluxicon Disco,Accepted-In Progress,Mats-Org line A2,Accepted-In Progress,Mats,Org line A2,2009-06-25T08:47:52.000,2009-06-25T08:47:52.000
1-310231291,Variant 4,4,Fluxicon Disco,Accepted-In Progress,Mats-Org line A2,Accepted-In Progress,Mats,Org line A2,2012-03-28T12:10:36.000,2012-03-28T12:10:36.000
1-310231291,Variant 4,4,Fluxicon Disco,Completed-Closed,Mats-Org line A2,Completed-Closed,Mats,Org line A2,2012-03-28T12:12:08.000,2012-03-28T12:12:08.000
1-316086072,Variant 81,81,Fluxicon Disco,Accepted-In Progress,Per-Org line C,Accepted-In Progress,Per,Org line C,2009-08-11T07:44:51.000,2009-08-11T07:44:51.000
1-316086072,Variant 81,81,Fluxicon Disco,Queued-Awaiting Assignment,Per-Org line C,Queued-Awaiting Assignment,Per,Org line C,2009-08-11T07:55:12.000,2009-08-11T07:55:12.000
1-316086072,Variant 81,81,Fluxicon Disco,Accepted-Assigned,Per-Org line C,Accepted-Assigned,Per,Org line C,2009-08-11T11:01:25.000,2009-08-11T11:01:25.000
1-316086072,Variant 81,81,Fluxicon Disco,Queued-Awaiting Assignment,Per-Org line C,Queued-Awaiting Assignment,Per,Org line C,2010-05-18T11:35:53.000,2010-05-18T11:35:53.000
1-316086072,Variant 81,81,Fluxicon Disco,Accepted-In Progress,Tony-Org line C,Accepted-In Progress,Tony,Org line C,2010-06-16T11:00:32.000,2010-06-16T11:00:32.000
1-316086072,Variant 81,81,Fluxicon Disco,Accepted-Wait,Tony-Org line C,Accepted-Wait,Tony,Org line C,2011-10-01T21:40:28.000,2011-10-01T21:40:28.000
1-316086072,Variant 81,81,Fluxicon Disco,Queued-Awaiting Assignment,Tony-Org line C,Queued-Awaiting Assignment,Tony,Org line C,2011-12-07T11:41:00.000,2011-12-07T11:41:00.000
1-316086072,Variant 81,81,Fluxicon Disco,Accepted-In Progress,Reza-Org line C,Accepted-In Progress,Reza,Org line C,2012-02-15T11:01:20.000,2012-02-15T11:01:20.000
1-316086072,Variant 81,81,Fluxicon Disco,Completed-Closed,Reza-Org line C,Completed-Closed,Reza,Org line C,2012-02-19T20:57:21.000,2012-02-19T20:57:21.000
1-320604521,Variant 42,42,Fluxicon Disco,Accepted-In Progress,Richard-Org line C,Accepted-In Progress,Richard,Org line C,2009-09-07T13:33:24.000,2009-09-07T13:33:24.000
1-320604521,Variant 42,42,Fluxicon Disco,Unmatched-Unmatched,Richard-Org line C,Unmatched-Unmatched,Richard,Org line C,2009-09-14T10:37:50.000,2009-09-14T10:37:50.000
1-320604521,Variant 42,42,Fluxicon Disco,Completed-Closed,Richard-Org line C,Completed-Closed,Richard,Org line C,2012-04-30T11:21:43.000,2012-04-30T11:21:43.000
1-322204195,Variant 82,82,Fluxicon Disco,Queued-Awaiting Assignment,Adam-Org line A2,Queued-Awaiting Assignment,Adam,Org line A2,2009-09-16T21:42:12.000,2009-09-16T21:42:12.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-In Progress,Adam-Org line A2,Accepted-In Progress,Adam,Org line A2,2009-09-28T10:26:19.000,2009-09-28T10:26:19.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-Wait,Adam-Org line A2,Accepted-Wait,Adam,Org line A2,2009-09-28T10:26:30.000,2009-09-28T10:26:30.000
1-322204195,Variant 82,82,Fluxicon Disco,Queued-Awaiting Assignment,Adam-Org line A2,Queued-Awaiting Assignment,Adam,Org line A2,2010-04-08T11:09:22.000,2010-04-08T11:09:22.000
1-322204195,Variant 82,82,Fluxicon Disco,Queued-Awaiting Assignment,Adam-Org line A2,Queued-Awaiting Assignment,Adam,Org line A2,2010-04-08T11:11:51.000,2010-04-08T11:11:51.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-In Progress,Adam-Org line A2,Accepted-In Progress,Adam,Org line A2,2010-04-12T09:05:58.000,2010-04-12T09:05:58.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-Wait,Adam-Org line A2,Accepted-Wait,Adam,Org line A2,2010-04-12T09:10:24.000,2010-04-12T09:10:24.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-In Progress,Adam-Org line A2,Accepted-In Progress,Adam,Org line A2,2011-10-18T15:09:14.000,2011-10-18T15:09:14.000
1-322204195,Variant 82,82,Fluxicon Disco,Accepted-Wait,Adam-Org line A2,Accepted-Wait,Adam,Org line A2,2012-05-24T09:02:19.000,2012-05-24T09:02:19.000
1-322204195,Variant 82,82,Fluxicon Disco,Completed-Closed,Adam-Org line A2,Completed-Closed,Adam,Org line A2,2012-05-24T10:03:31.000,2012-05-24T10:03:31.000
1-322581861,Variant 42,42,Fluxicon Disco,Accepted-In Progress,Stefan-Org line C,Accepted-In Progress,Stefan,Org line C,2009-09-18T11:50:02.000,2009-09-18T11:50:02.000
1-322581861,Variant 42,42,Fluxicon Disco,Unmatched-Unmatched,Stefan-Org line C,Unmatched-Unmatched,Stefan,Org line C,2009-11-17T13:07:38.000,2009-11-17T13:07:38.000
1-322581861,Variant 42,42,Fluxicon Disco,Completed-Closed,Stefan-Org line C,Completed-Closed,Stefan,Org line C,2012-03-13T10:53:35.000,2012-03-13T10:53:35.000
1-322980802,Variant 1,1,Fluxicon Disco,Accepted-In Progress,Kerstin-Org line V2,Accepted-In Progress,Kerstin,Org line V2,2009-09-21T13:13:43.000,2009-09-21T13:13:43.000
1-322980802,Variant 1,1,Fluxicon Disco,Completed-Closed,Kerstin-Org line V2,Completed-Closed,Kerstin,Org line V2,2012-02-07T12:22:11.000,2012-02-07T12:22:11.000
1-323264491,Variant 10,10,Fluxicon Disco,Accepted-In Progress,Reine-Org line C,Accepted-In Progress,Reine,Org line C,2009-09-22T13:22:05.000,2009-09-22T13:22:05.000
1-323264491,Variant 10,10,Fluxicon Disco,Accepted-Assigned,Reine-Org line C,Accepted-Assigned,Reine,Org line C,2009-09-22T13:25:17.000,2009-09-22T13:25:17.000
1-323264491,Variant 10,10,Fluxicon Disco,Completed-Closed,Reine-Org line C,Completed-Closed,Reine,Org line C,2012-05-24T09:57:49.000,2012-05-24T09:57:49.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-In Progress,Rajashekar-Org line A2,Accepted-In Progress,Rajashekar,Org line A2,2009-09-23T10:52:27.000,2009-09-23T10:52:27.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-Assigned,Rajashekar-Org line A2,Accepted-Assigned,Rajashekar,Org line A2,2010-01-04T08:00:17.000,2010-01-04T08:00:17.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-In Progress,Rajashekar-Org line A2,Accepted-In Progress,Rajashekar,Org line A2,2010-03-17T15:36:20.000,2010-03-17T15:36:20.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-Assigned,Rajashekar-Org line A2,Accepted-Assigned,Rajashekar,Org line A2,2010-11-09T11:35:55.000,2010-11-09T11:35:55.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-In Progress,Rajashekar-Org line A2,Accepted-In Progress,Rajashekar,Org line A2,2010-11-09T13:20:48.000,2010-11-09T13:20:48.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-In Progress,Kalpesh-Org line A2,Accepted-In Progress,Kalpesh,Org line A2,2012-03-30T07:00:47.000,2012-03-30T07:00:47.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-Assigned,Tise-Org line A2,Accepted-Assigned,Tise,Org line A2,2012-03-30T07:05:44.000,2012-03-30T07:05:44.000
1-323462732,Variant 83,83,Fluxicon Disco,Accepted-In Progress,TulasiPrasad-Org line A2,Accepted-In Progress,TulasiPrasad,Org line A2,2012-04-19T09:01:14.000,2012-04-19T09:01:14.000
1-323462732,Variant 83,83,Fluxicon Disco,Completed-Closed,TulasiPrasad-Org line A2,Completed-Closed,TulasiPrasad,Org line A2,2012-04-19T09:01:38.000,2012-04-19T09:01:38.000
1-327329880,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2009-10-14T17:12:54.000,2009-10-14T17:12:54.000
1-327329880,Variant 23,23,Fluxicon Disco,Accepted-Wait,Carrie-Org line A2,Accepted-Wait,Carrie,Org line A2,2009-12-02T13:24:37.000,2009-12-02T13:24:37.000
1-327329880,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2011-09-01T23:22:08.000,2011-09-01T23:22:08.000
1-327329880,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-02-01T08:46:54.000,2012-02-01T08:46:54.000
1-327329880,Variant 23,23,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-02-01T08:46:57.000,2012-02-01T08:46:57.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-Wait,Henrik-Org line A2,Accepted-Wait,Henrik,Org line A2,2009-10-26T13:47:10.000,2009-10-26T13:47:10.000
1-329451027,Variant 84,84,Fluxicon Disco,Unmatched-Unmatched,Henrik-Org line A2,Unmatched-Unmatched,Henrik,Org line A2,2009-10-27T08:57:26.000,2009-10-27T08:57:26.000
1-329451027,Variant 84,84,Fluxicon Disco,Queued-Awaiting Assignment,Henrik-Org line A2,Queued-Awaiting Assignment,Henrik,Org line A2,2010-03-02T12:44:22.000,2010-03-02T12:44:22.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-In Progress,Katarzyna-Org line A2,Accepted-In Progress,Katarzyna,Org line A2,2010-03-02T12:46:10.000,2010-03-02T12:46:10.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-Wait,Katarzyna-Org line A2,Accepted-Wait,Katarzyna,Org line A2,2010-03-02T12:46:18.000,2010-03-02T12:46:18.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-Assigned,Damian-Org line A2,Accepted-Assigned,Damian,Org line A2,2011-04-11T08:10:20.000,2011-04-11T08:10:20.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-Assigned,Katarzyna-Org line A2,Accepted-Assigned,Katarzyna,Org line A2,2011-04-11T08:11:48.000,2011-04-11T08:11:48.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-Wait,Katarzyna-Org line A2,Accepted-Wait,Katarzyna,Org line A2,2011-11-28T07:21:27.000,2011-11-28T07:21:27.000
1-329451027,Variant 84,84,Fluxicon Disco,Accepted-In Progress,Katarzyna-Org line A2,Accepted-In Progress,Katarzyna,Org line A2,2012-03-30T09:53:50.000,2012-03-30T09:53:50.000
1-329451027,Variant 84,84,Fluxicon Disco,Completed-Closed,Katarzyna-Org line A2,Completed-Closed,Katarzyna,Org line A2,2012-03-30T09:53:53.000,2012-03-30T09:53:53.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-In Progress,Henrik-Org line A2,Accepted-In Progress,Henrik,Org line A2,2009-10-27T08:42:40.000,2009-10-27T08:42:40.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-Wait,Henrik-Org line A2,Accepted-Wait,Henrik,Org line A2,2009-10-27T08:42:49.000,2009-10-27T08:42:49.000
1-329647261,Variant 85,85,Fluxicon Disco,Queued-Awaiting Assignment,Henrik-Org line A2,Queued-Awaiting Assignment,Henrik,Org line A2,2010-03-02T12:43:43.000,2010-03-02T12:43:43.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-In Progress,Ricardo-Org line A1,Accepted-In Progress,Ricardo,Org line A1,2010-03-02T12:44:26.000,2010-03-02T12:44:26.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-In Progress,Katarzyna-Org line A2,Accepted-In Progress,Katarzyna,Org line A2,2010-03-03T07:04:11.000,2010-03-03T07:04:11.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-Wait,Katarzyna-Org line A2,Accepted-Wait,Katarzyna,Org line A2,2010-06-13T21:32:03.000,2010-06-13T21:32:03.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-Assigned,Damian-Org line A2,Accepted-Assigned,Damian,Org line A2,2011-04-11T08:12:04.000,2011-04-11T08:12:04.000
1-329647261,Variant 85,85,Fluxicon Disco,Accepted-Wait,Damian-Org line A2,Accepted-Wait,Damian,Org line A2,2011-11-23T10:55:39.000,2011-11-23T10:55:39.000
1-329647261,Variant 85,85,Fluxicon Disco,Completed-Closed,Damian-Org line A2,Completed-Closed,Damian,Org line A2,2012-01-19T07:55:41.000,2012-01-19T07:55:41.000
1-330634474,Variant 86,86,Fluxicon Disco,Accepted-In Progress,Henrik-Org line A2,Accepted-In Progress,Henrik,Org line A2,2009-10-30T12:49:04.000,2009-10-30T12:49:04.000
1-330634474,Variant 86,86,Fluxicon Disco,Accepted-Assigned,Henrik-Org line A2,Accepted-Assigned,Henrik,Org line A2,2009-10-30T12:57:13.000,2009-10-30T12:57:13.000
1-330634474,Variant 86,86,Fluxicon Disco,Queued-Awaiting Assignment,Henrik-Org line A2,Queued-Awaiting Assignment,Henrik,Org line A2,2010-03-02T12:43:50.000,2010-03-02T12:43:50.000
1-330634474,Variant 86,86,Fluxicon Disco,Accepted-In Progress,Katarzyna-Org line A2,Accepted-In Progress,Katarzyna,Org line A2,2010-03-02T12:45:25.000,2010-03-02T12:45:25.000
1-330634474,Variant 86,86,Fluxicon Disco,Accepted-Wait,Katarzyna-Org line A2,Accepted-Wait,Katarzyna,Org line A2,2010-03-02T12:45:37.000,2010-03-02T12:45:37.000
1-330634474,Variant 86,86,Fluxicon Disco,Completed-Closed,Katarzyna-Org line A2,Completed-Closed,Katarzyna,Org line A2,2012-03-30T09:54:30.000,2012-03-30T09:54:30.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-In Progress,Roger-Org line A2,Accepted-In Progress,Roger,Org line A2,2009-11-04T07:07:28.000,2009-11-04T07:07:28.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-In Progress,Roger-Org line A2,Accepted-In Progress,Roger,Org line A2,2010-03-03T14:51:55.000,2010-03-03T14:51:55.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-Assigned,Piotr-Org line A2,Accepted-Assigned,Piotr,Org line A2,2010-03-03T14:52:18.000,2010-03-03T14:52:18.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-Assigned,Piotr-Org line A2,Accepted-Assigned,Piotr,Org line A2,2010-05-24T16:04:58.000,2010-05-24T16:04:58.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-Assigned,Henrik-Org line A2,Accepted-Assigned,Henrik,Org line A2,2010-08-09T11:39:59.000,2010-08-09T11:39:59.000
1-331478885,Variant 87,87,Fluxicon Disco,Accepted-In Progress,Katarzyna-Org line A2,Accepted-In Progress,Katarzyna,Org line A2,2012-04-02T09:18:59.000,2012-04-02T09:18:59.000
1-331478885,Variant 87,87,Fluxicon Disco,Completed-Closed,Katarzyna-Org line A2,Completed-Closed,Katarzyna,Org line A2,2012-04-02T09:19:30.000,2012-04-02T09:19:30.000
1-332389008,Variant 88,88,Fluxicon Disco,Queued-Awaiting Assignment,Ingela-Org line V2,Queued-Awaiting Assignment,Ingela,Org line V2,2009-11-09T15:38:14.000,2009-11-09T15:38:14.000
1-332389008,Variant 88,88,Fluxicon Disco,Accepted-In Progress,Ingela-Org line V2,Accepted-In Progress,Ingela,Org line V2,2009-11-24T08:41:50.000,2009-11-24T08:41:50.000
1-332389008,Variant 88,88,Fluxicon Disco,Accepted-Wait,Ingela-Org line V2,Accepted-Wait,Ingela,Org line V2,2010-09-10T09:45:16.000,2010-09-10T09:45:16.000
1-332389008,Variant 88,88,Fluxicon Disco,Accepted-In Progress,Ingela-Org line V2,Accepted-In Progress,Ingela,Org line V2,2011-03-28T10:52:46.000,2011-03-28T10:52:46.000
1-332389008,Variant 88,88,Fluxicon Disco,Accepted-Wait,Ingela-Org line V2,Accepted-Wait,Ingela,Org line V2,2012-01-04T14:53:26.000,2012-01-04T14:53:26.000
1-332389008,Variant 88,88,Fluxicon Disco,Completed-Closed,Ingela-Org line V2,Completed-Closed,Ingela,Org line V2,2012-04-13T12:41:36.000,2012-04-13T12:41:36.000
1-333164156,Variant 89,89,Fluxicon Disco,Accepted-In Progress,Liesbet-Org line A2,Accepted-In Progress,Liesbet,Org line A2,2009-11-12T12:41:27.000,2009-11-12T12:41:27.000
1-333164156,Variant 89,89,Fluxicon Disco,Accepted-In Progress,Liesbet-Org line A2,Accepted-In Progress,Liesbet,Org line A2,2010-09-17T09:33:52.000,2010-09-17T09:33:52.000
1-333164156,Variant 89,89,Fluxicon Disco,Queued-Awaiting Assignment,Timothy-Org line A2,Queued-Awaiting Assignment,Timothy,Org line A2,2010-11-12T18:22:19.000,2010-11-12T18:22:19.000
1-333164156,Variant 89,89,Fluxicon Disco,Accepted-Assigned,Ian-Org line A2,Accepted-Assigned,Ian,Org line A2,2010-11-23T14:10:22.000,2010-11-23T14:10:22.000
