Case_ID,Start_Time,End_Time,Activity,Resource
request for payment 77877,2017-03-07T08:22:00.000,2017-03-07T08:22:00.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77877,2017-03-07T08:22:48.000,2017-03-07T08:22:48.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 77877,2017-03-13T10:30:21.000,2017-03-13T10:30:21.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 77877,2017-03-21T13:18:44.000,2017-03-21T13:18:44.000,Request Payment,UNDEFINED
request for payment 77877,2017-03-23T16:30:45.000,2017-03-23T16:30:45.000,Payment Handled,UNDEFINED
request for payment 185377,2017-01-16T08:09:35.000,2017-01-16T08:09:35.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185377,2017-01-16T08:10:17.000,2017-01-16T08:10:17.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185377,2017-01-18T15:11:36.000,2017-01-18T15:11:36.000,Request Payment,UNDEFINED
request for payment 185377,2017-01-23T16:32:19.000,2017-01-23T16:32:19.000,Payment Handled,UNDEFINED
request for payment 185342,2017-01-16T08:16:14.000,2017-01-16T08:16:14.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185342,2017-01-16T08:16:24.000,2017-01-16T08:16:24.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185342,2017-01-18T15:10:58.000,2017-01-18T15:10:58.000,Request Payment,UNDEFINED
request for payment 185342,2017-01-23T16:32:19.000,2017-01-23T16:32:19.000,Payment Handled,UNDEFINED
request for payment 76396,2017-01-17T09:24:51.000,2017-01-17T09:24:51.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76396,2017-01-17T09:25:19.000,2017-01-17T09:25:19.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76396,2017-01-17T12:17:01.000,2017-01-17T12:17:01.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 76396,2017-03-27T16:20:34.000,2017-03-27T16:20:34.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76396,2017-03-27T16:21:31.000,2017-03-27T16:21:31.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76396,2017-03-28T09:00:22.000,2017-03-28T09:00:22.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76396,2017-03-28T13:47:02.000,2017-03-28T13:47:02.000,Request Payment,UNDEFINED
request for payment 76396,2017-03-30T16:31:17.000,2017-03-30T16:31:17.000,Payment Handled,UNDEFINED
request for payment 73039,2017-01-18T19:59:18.000,2017-01-18T19:59:18.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73039,2017-01-18T19:59:28.000,2017-01-18T19:59:28.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73039,2017-01-19T19:35:15.000,2017-01-19T19:35:15.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73039,2017-01-19T19:37:34.000,2017-01-19T19:37:34.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73039,2017-01-20T11:14:28.000,2017-01-20T11:14:28.000,Request Payment,UNDEFINED
request for payment 73039,2017-01-23T16:32:19.000,2017-01-23T16:32:19.000,Payment Handled,UNDEFINED
request for payment 76424,2017-01-18T21:32:21.000,2017-01-18T21:32:21.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76424,2017-01-18T21:32:35.000,2017-01-18T21:32:35.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76424,2017-01-20T18:49:01.000,2017-01-20T18:49:01.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76424,2017-01-20T18:49:18.000,2017-01-20T18:49:18.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76424,2017-02-10T10:31:02.000,2017-02-10T10:31:02.000,Request Payment,UNDEFINED
request for payment 76424,2017-02-13T16:32:18.000,2017-02-13T16:32:18.000,Payment Handled,UNDEFINED
request for payment 73258,2017-01-19T12:33:36.000,2017-01-19T12:33:36.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73258,2017-01-19T12:33:38.000,2017-01-19T12:33:38.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73258,2017-03-06T15:20:35.000,2017-03-06T15:20:35.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73258,2017-03-06T15:21:33.000,2017-03-06T15:21:33.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 73258,2017-03-06T15:29:18.000,2017-03-06T15:29:18.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73258,2017-03-07T09:28:45.000,2017-03-07T09:28:45.000,Request Payment,UNDEFINED
request for payment 73258,2017-03-09T16:31:22.000,2017-03-09T16:31:22.000,Payment Handled,UNDEFINED
request for payment 76579,2017-01-20T07:19:48.000,2017-01-20T07:19:48.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76579,2017-01-20T07:19:52.000,2017-01-20T07:19:52.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76579,2017-02-03T14:32:54.000,2017-02-03T14:32:54.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76579,2017-02-03T14:44:07.000,2017-02-03T14:44:07.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76579,2017-02-06T12:33:35.000,2017-02-06T12:33:35.000,Request Payment,UNDEFINED
request for payment 76579,2017-02-09T16:32:18.000,2017-02-09T16:32:18.000,Payment Handled,UNDEFINED
request for payment 185354,2017-01-20T18:51:01.000,2017-01-20T18:51:01.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185354,2017-01-20T18:51:09.000,2017-01-20T18:51:09.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185354,2017-01-24T11:49:34.000,2017-01-24T11:49:34.000,Request Payment,UNDEFINED
request for payment 185354,2017-01-26T16:30:47.000,2017-01-26T16:30:47.000,Payment Handled,UNDEFINED
request for payment 74097,2017-01-24T10:15:56.000,2017-01-24T10:15:56.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 74097,2017-01-24T10:15:58.000,2017-01-24T10:15:58.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 74097,2017-01-31T09:46:42.000,2017-01-31T09:46:42.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 74097,2017-01-31T09:46:49.000,2017-01-31T09:46:49.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 74097,2017-02-03T07:50:07.000,2017-02-03T07:50:07.000,Request Payment,UNDEFINED
request for payment 74097,2017-02-06T16:31:45.000,2017-02-06T16:31:45.000,Payment Handled,UNDEFINED
request for payment 72603,2017-01-24T15:48:44.000,2017-01-24T15:48:44.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72603,2017-01-24T15:48:48.000,2017-01-24T15:48:48.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72603,2017-01-25T11:25:01.000,2017-01-25T11:25:01.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72603,2017-02-08T17:30:09.000,2017-02-08T17:30:09.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72603,2017-02-15T14:22:51.000,2017-02-15T14:22:51.000,Request Payment,UNDEFINED
request for payment 72603,2017-02-20T16:32:08.000,2017-02-20T16:32:08.000,Payment Handled,UNDEFINED
request for payment 77902,2017-01-29T09:58:46.000,2017-01-29T09:58:46.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77902,2017-01-29T09:58:55.000,2017-01-29T09:58:55.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 77902,2017-07-08T08:59:54.000,2017-07-08T08:59:54.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77902,2017-07-08T08:59:59.000,2017-07-08T08:59:59.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 77902,2017-07-14T14:37:26.000,2017-07-14T14:37:26.000,Request Payment,UNDEFINED
request for payment 77902,2017-07-17T16:31:09.000,2017-07-17T16:31:09.000,Payment Handled,UNDEFINED
request for payment 73897,2017-01-31T08:41:52.000,2017-01-31T08:41:52.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73897,2017-01-31T13:56:20.000,2017-01-31T13:56:20.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73897,2017-02-09T09:06:54.000,2017-02-09T09:06:54.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73897,2017-03-07T07:36:52.000,2017-03-07T07:36:52.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73897,2017-03-09T11:30:22.000,2017-03-09T11:30:22.000,Request Payment,UNDEFINED
request for payment 73897,2017-03-13T16:31:05.000,2017-03-13T16:31:05.000,Payment Handled,UNDEFINED
request for payment 76930,2017-01-31T13:38:55.000,2017-01-31T13:38:55.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76930,2017-01-31T13:40:27.000,2017-01-31T13:40:27.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76930,2017-02-01T14:52:50.000,2017-02-01T14:52:50.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76930,2017-02-09T15:48:30.000,2017-02-09T15:48:30.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76930,2017-02-09T15:48:32.000,2017-02-09T15:48:32.000,Request For Payment REJECTED by PRE_APPROVER,PRE_APPROVER
request for payment 76930,2017-02-13T15:12:00.000,2017-02-13T15:12:00.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 76930,2017-03-01T17:28:35.000,2017-03-01T17:28:35.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76930,2017-03-01T17:29:42.000,2017-03-01T17:29:42.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76930,2017-03-02T07:57:39.000,2017-03-02T07:57:39.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76930,2017-03-08T14:37:12.000,2017-03-08T14:37:12.000,Request Payment,UNDEFINED
request for payment 76930,2017-03-13T16:31:05.000,2017-03-13T16:31:05.000,Payment Handled,UNDEFINED
request for payment 76934,2017-01-31T13:38:55.000,2017-01-31T13:38:55.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76934,2017-01-31T13:40:27.000,2017-01-31T13:40:27.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76934,2017-02-01T14:52:50.000,2017-02-01T14:52:50.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76934,2017-02-09T15:44:25.000,2017-02-09T15:44:25.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76934,2017-02-09T15:44:31.000,2017-02-09T15:44:31.000,Request For Payment REJECTED by PRE_APPROVER,PRE_APPROVER
request for payment 76934,2017-02-13T15:11:13.000,2017-02-13T15:11:13.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 76934,2017-03-01T17:30:04.000,2017-03-01T17:30:04.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76934,2017-03-01T17:30:53.000,2017-03-01T17:30:53.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76934,2017-03-02T08:13:04.000,2017-03-02T08:13:04.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76934,2017-03-08T14:36:58.000,2017-03-08T14:36:58.000,Request Payment,UNDEFINED
request for payment 76934,2017-03-13T16:31:05.000,2017-03-13T16:31:05.000,Payment Handled,UNDEFINED
request for payment 76932,2017-01-31T13:38:55.000,2017-01-31T13:38:55.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76932,2017-01-31T13:40:27.000,2017-01-31T13:40:27.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76932,2017-02-01T14:52:50.000,2017-02-01T14:52:50.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76932,2017-02-09T15:58:45.000,2017-02-09T15:58:45.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76932,2017-02-09T15:58:49.000,2017-02-09T15:58:49.000,Request For Payment REJECTED by PRE_APPROVER,PRE_APPROVER
request for payment 76932,2017-02-13T15:12:56.000,2017-02-13T15:12:56.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 76932,2017-03-01T17:26:25.000,2017-03-01T17:26:25.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76932,2017-03-01T17:27:46.000,2017-03-01T17:27:46.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76932,2017-03-02T07:50:30.000,2017-03-02T07:50:30.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76932,2017-03-08T14:37:25.000,2017-03-08T14:37:25.000,Request Payment,UNDEFINED
request for payment 76932,2017-03-13T16:31:05.000,2017-03-13T16:31:05.000,Payment Handled,UNDEFINED
request for payment 76936,2017-01-31T13:38:55.000,2017-01-31T13:38:55.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76936,2017-01-31T13:40:27.000,2017-01-31T13:40:27.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76936,2017-02-01T14:52:50.000,2017-02-01T14:52:50.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76936,2017-02-09T15:40:05.000,2017-02-09T15:40:05.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76936,2017-02-09T15:42:55.000,2017-02-09T15:42:55.000,Request For Payment REJECTED by PRE_APPROVER,PRE_APPROVER
request for payment 76936,2017-02-13T14:29:48.000,2017-02-13T14:29:48.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 76936,2017-03-01T17:31:41.000,2017-03-01T17:31:41.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76936,2017-03-01T17:32:52.000,2017-03-01T17:32:52.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76936,2017-03-02T08:15:48.000,2017-03-02T08:15:48.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76936,2017-03-08T14:36:23.000,2017-03-08T14:36:23.000,Request Payment,UNDEFINED
request for payment 76936,2017-03-13T16:31:05.000,2017-03-13T16:31:05.000,Payment Handled,UNDEFINED
request for payment 72937,2017-02-02T09:55:35.000,2017-02-02T09:55:35.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72937,2017-02-02T09:55:37.000,2017-02-02T09:55:37.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 72937,2017-02-02T10:16:36.000,2017-02-02T10:16:36.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72937,2017-03-22T09:04:10.000,2017-03-22T09:04:10.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72937,2017-03-22T09:06:39.000,2017-03-22T09:06:39.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 72937,2017-03-22T09:41:12.000,2017-03-22T09:41:12.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72937,2017-03-24T09:41:18.000,2017-03-24T09:41:18.000,Request Payment,UNDEFINED
request for payment 72937,2017-03-27T16:31:03.000,2017-03-27T16:31:03.000,Payment Handled,UNDEFINED
request for payment 72939,2017-02-02T09:55:35.000,2017-02-02T09:55:35.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72939,2017-02-02T09:55:37.000,2017-02-02T09:55:37.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 72939,2017-02-02T10:16:36.000,2017-02-02T10:16:36.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72939,2017-03-14T17:41:28.000,2017-03-14T17:41:28.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 72939,2017-03-14T17:50:38.000,2017-03-14T17:50:38.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 72939,2017-03-15T13:57:25.000,2017-03-15T13:57:25.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 72939,2017-03-20T10:01:39.000,2017-03-20T10:01:39.000,Request For Payment REJECTED by MISSING,MISSING
request for payment 76710,2017-02-02T09:57:45.000,2017-02-02T09:57:45.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76710,2017-02-02T09:57:47.000,2017-02-02T09:57:47.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76710,2017-02-02T10:16:08.000,2017-02-02T10:16:08.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76710,2017-02-03T17:48:06.000,2017-02-03T17:48:06.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76710,2017-02-03T17:48:09.000,2017-02-03T17:48:09.000,Request For Payment REJECTED by PRE_APPROVER,PRE_APPROVER
request for payment 76710,2017-02-06T07:09:10.000,2017-02-06T07:09:10.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 76710,2017-02-06T14:46:49.000,2017-02-06T14:46:49.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76710,2017-02-06T14:46:55.000,2017-02-06T14:46:55.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76710,2017-02-06T14:57:51.000,2017-02-06T14:57:51.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
