Case ID,start_timestamp,end_timestamp,Creator,Resource,variant_index,ActivityID,Activity
21,2011-01-14T23:15:21,2011-01-14T23:15:21,Fluxicon Disco, Variant 1,1,1,1
21,2011-01-27T16:06:37,2011-01-27T16:06:37,Fluxicon Disco, Variant 1,1,8,8
21,2011-01-27T18:19:15,2011-01-27T18:19:15,Fluxicon Disco, Variant 1,1,6,6
22,2012-07-23T14:49:04,2012-07-23T14:49:04,Fluxicon Disco, Variant 2,2,1,1
22,2012-07-23T14:49:14,2012-07-23T14:49:14,Fluxicon Disco, Variant 2,2,8,8
22,2012-07-23T15:51:59,2012-07-23T15:51:59,Fluxicon Disco, Variant 2,2,9,9
22,2012-08-27T17:05:23,2012-08-27T17:05:23,Fluxicon Disco, Variant 2,2,6,6
24,2010-04-27T16:49:56,2010-04-27T16:49:56,Fluxicon Disco, Variant 1,1,1,1
24,2010-06-08T18:06:56,2010-06-08T18:06:56,Fluxicon Disco, Variant 1,1,8,8
24,2010-06-08T21:46:16,2010-06-08T21:46:16,Fluxicon Disco, Variant 1,1,6,6
25,2010-12-30T17:27:17,2010-12-30T17:27:17,Fluxicon Disco, Variant 1,1,1,1
25,2010-12-30T21:14:04,2010-12-30T21:14:04,Fluxicon Disco, Variant 1,1,8,8
25,2010-12-30T23:16:35,2010-12-30T23:16:35,Fluxicon Disco, Variant 1,1,6,6
26,2011-03-31T14:28:47,2011-03-31T14:28:47,Fluxicon Disco, Variant 3,3,1,1
26,2011-03-31T14:31:59,2011-03-31T14:31:59,Fluxicon Disco, Variant 3,3,8,8
26,2011-03-31T15:39:41,2011-03-31T15:39:41,Fluxicon Disco, Variant 3,3,9,9
26,2011-03-31T18:00:28,2011-03-31T18:00:28,Fluxicon Disco, Variant 3,3,8,8
26,2011-03-31T18:00:41,2011-03-31T18:00:41,Fluxicon Disco, Variant 3,3,6,6
27,2011-11-24T22:02:16,2011-11-24T22:02:16,Fluxicon Disco, Variant 1,1,1,1
27,2011-11-24T22:02:35,2011-11-24T22:02:35,Fluxicon Disco, Variant 1,1,8,8
27,2011-12-12T17:04:47,2011-12-12T17:04:47,Fluxicon Disco, Variant 1,1,6,6
29,2012-07-30T17:07:32,2012-07-30T17:07:32,Fluxicon Disco, Variant 1,1,1,1
29,2012-07-30T17:07:40,2012-07-30T17:07:40,Fluxicon Disco, Variant 1,1,8,8
29,2012-07-30T19:29:40,2012-07-30T19:29:40,Fluxicon Disco, Variant 1,1,6,6
30,2011-01-21T17:47:20,2011-01-21T17:47:20,Fluxicon Disco, Variant 1,1,1,1
30,2011-02-07T17:19:45,2011-02-07T17:19:45,Fluxicon Disco, Variant 1,1,8,8
30,2011-02-10T17:01:20,2011-02-10T17:01:20,Fluxicon Disco, Variant 1,1,6,6
32,2011-04-27T14:38:44,2011-04-27T14:38:44,Fluxicon Disco, Variant 1,1,1,1
32,2011-04-27T19:46:13,2011-04-27T19:46:13,Fluxicon Disco, Variant 1,1,8,8
32,2011-04-28T15:18:08,2011-04-28T15:18:08,Fluxicon Disco, Variant 1,1,6,6
35,2012-01-18T16:15:30,2012-01-18T16:15:30,Fluxicon Disco, Variant 5,5,1,1
35,2012-01-18T17:46:37,2012-01-18T17:46:37,Fluxicon Disco, Variant 5,5,6,6
36,2011-06-29T17:06:48,2011-06-29T17:06:48,Fluxicon Disco, Variant 1,1,1,1
36,2011-06-30T19:58:23,2011-06-30T19:58:23,Fluxicon Disco, Variant 1,1,8,8
36,2011-07-05T14:32:43,2011-07-05T14:32:43,Fluxicon Disco, Variant 1,1,6,6
37,2011-02-10T19:13:07,2011-02-10T19:13:07,Fluxicon Disco, Variant 68,68,1,1
37,2011-02-10T19:13:33,2011-02-10T19:13:33,Fluxicon Disco, Variant 68,68,8,8
37,2011-02-10T23:20:02,2011-02-10T23:20:02,Fluxicon Disco, Variant 68,68,6,6
37,2011-03-02T21:23:58,2011-03-02T21:23:58,Fluxicon Disco, Variant 68,68,6,6
37,2011-03-02T21:24:07,2011-03-02T21:24:07,Fluxicon Disco, Variant 68,68,8,8
37,2011-03-02T23:27:52,2011-03-02T23:27:52,Fluxicon Disco, Variant 68,68,9,9
37,2011-03-04T17:37:50,2011-03-04T17:37:50,Fluxicon Disco, Variant 68,68,8,8
37,2011-03-04T17:37:55,2011-03-04T17:37:55,Fluxicon Disco, Variant 68,68,6,6
38,2012-03-20T15:57:45,2012-03-20T15:57:45,Fluxicon Disco, Variant 1,1,1,1
38,2012-03-20T15:58:15,2012-03-20T15:58:15,Fluxicon Disco, Variant 1,1,8,8
38,2012-03-20T16:18:56,2012-03-20T16:18:56,Fluxicon Disco, Variant 1,1,6,6
40,2012-08-09T19:13:03,2012-08-09T19:13:03,Fluxicon Disco, Variant 1,1,1,1
40,2012-08-09T19:13:29,2012-08-09T19:13:29,Fluxicon Disco, Variant 1,1,8,8
40,2012-08-09T19:46:00,2012-08-09T19:46:00,Fluxicon Disco, Variant 1,1,6,6
41,2010-12-14T18:44:26,2010-12-14T18:44:26,Fluxicon Disco, Variant 1,1,1,1
41,2010-12-14T18:44:57,2010-12-14T18:44:57,Fluxicon Disco, Variant 1,1,8,8
41,2010-12-14T18:45:12,2010-12-14T18:45:12,Fluxicon Disco, Variant 1,1,6,6
42,2011-06-16T19:23:39,2011-06-16T19:23:39,Fluxicon Disco, Variant 1,1,1,1
42,2011-06-16T19:51:05,2011-06-16T19:51:05,Fluxicon Disco, Variant 1,1,8,8
42,2011-06-16T20:39:51,2011-06-16T20:39:51,Fluxicon Disco, Variant 1,1,6,6
43,2012-04-10T15:56:32,2012-04-10T15:56:32,Fluxicon Disco, Variant 1,1,1,1
43,2012-04-10T16:27:27,2012-04-10T16:27:27,Fluxicon Disco, Variant 1,1,8,8
43,2012-04-10T17:53:28,2012-04-10T17:53:28,Fluxicon Disco, Variant 1,1,6,6
44,2010-11-30T00:09:19,2010-11-30T00:09:19,Fluxicon Disco, Variant 1,1,1,1
44,2010-11-30T00:19:59,2010-11-30T00:19:59,Fluxicon Disco, Variant 1,1,8,8
44,2010-11-30T00:20:51,2010-11-30T00:20:51,Fluxicon Disco, Variant 1,1,6,6
45,2012-01-20T22:08:14,2012-01-20T22:08:14,Fluxicon Disco, Variant 1,1,1,1
45,2012-01-25T19:46:19,2012-01-25T19:46:19,Fluxicon Disco, Variant 1,1,8,8
45,2012-03-02T18:40:59,2012-03-02T18:40:59,Fluxicon Disco, Variant 1,1,6,6
47,2011-05-25T16:48:18,2011-05-25T16:48:18,Fluxicon Disco, Variant 1,1,1,1
47,2011-05-25T16:48:43,2011-05-25T16:48:43,Fluxicon Disco, Variant 1,1,8,8
47,2011-05-30T22:04:34,2011-05-30T22:04:34,Fluxicon Disco, Variant 1,1,6,6
48,2010-12-01T21:42:59,2010-12-01T21:42:59,Fluxicon Disco, Variant 7,7,3,3
48,2010-12-02T22:07:33,2010-12-02T22:07:33,Fluxicon Disco, Variant 7,7,1,1
48,2010-12-02T22:07:41,2010-12-02T22:07:41,Fluxicon Disco, Variant 7,7,8,8
48,2010-12-02T22:08:33,2010-12-02T22:08:33,Fluxicon Disco, Variant 7,7,6,6
49,2011-11-25T22:33:54,2011-11-25T22:33:54,Fluxicon Disco, Variant 2,2,1,1
49,2011-11-25T22:47:48,2011-11-25T22:47:48,Fluxicon Disco, Variant 2,2,8,8
49,2011-11-29T22:47:35,2011-11-29T22:47:35,Fluxicon Disco, Variant 2,2,9,9
49,2011-12-03T00:25:57,2011-12-03T00:25:57,Fluxicon Disco, Variant 2,2,6,6
50,2012-01-16T18:53:01,2012-01-16T18:53:01,Fluxicon Disco, Variant 6,6,1,1
50,2012-01-16T18:59:51,2012-01-16T18:59:51,Fluxicon Disco, Variant 6,6,8,8
50,2012-01-17T00:37:54,2012-01-17T00:37:54,Fluxicon Disco, Variant 6,6,6,6
50,2012-01-17T00:37:55,2012-01-17T00:37:55,Fluxicon Disco, Variant 6,6,6,6
51,2012-06-13T20:55:36,2012-06-13T20:55:36,Fluxicon Disco, Variant 2,2,1,1
51,2012-06-14T14:07:06,2012-06-14T14:07:06,Fluxicon Disco, Variant 2,2,8,8
51,2012-06-15T14:16:27,2012-06-15T14:16:27,Fluxicon Disco, Variant 2,2,9,9
51,2012-07-02T16:41:04,2012-07-02T16:41:04,Fluxicon Disco, Variant 2,2,6,6
52,2012-07-26T22:18:26,2012-07-26T22:18:26,Fluxicon Disco, Variant 1,1,1,1
52,2012-07-26T22:18:35,2012-07-26T22:18:35,Fluxicon Disco, Variant 1,1,8,8
52,2012-07-27T17:46:28,2012-07-27T17:46:28,Fluxicon Disco, Variant 1,1,6,6
53,2010-10-14T20:53:13,2010-10-14T20:53:13,Fluxicon Disco, Variant 13,13,1,1
53,2010-10-15T20:02:36,2010-10-15T20:02:36,Fluxicon Disco, Variant 13,13,8,8
53,2010-10-28T22:12:55,2010-10-28T22:12:55,Fluxicon Disco, Variant 13,13,9,9
53,2010-10-28T22:12:55,2010-10-28T22:12:55,Fluxicon Disco, Variant 13,13,9,9
53,2010-10-29T20:42:01,2010-10-29T20:42:01,Fluxicon Disco, Variant 13,13,8,8
53,2010-11-04T16:48:12,2010-11-04T16:48:12,Fluxicon Disco, Variant 13,13,6,6
55,2011-10-26T22:51:42,2011-10-26T22:51:42,Fluxicon Disco, Variant 2,2,1,1
55,2011-10-31T23:19:03,2011-10-31T23:19:03,Fluxicon Disco, Variant 2,2,8,8
55,2011-11-07T16:44:52,2011-11-07T16:44:52,Fluxicon Disco, Variant 2,2,9,9
55,2011-11-21T16:21:23,2011-11-21T16:21:23,Fluxicon Disco, Variant 2,2,6,6
56,2012-01-30T19:32:58,2012-01-30T19:32:58,Fluxicon Disco, Variant 5,5,1,1
56,2012-01-30T19:33:23,2012-01-30T19:33:23,Fluxicon Disco, Variant 5,5,6,6
57,2010-10-29T16:39:23,2010-10-29T16:39:23,Fluxicon Disco, Variant 1,1,1,1
57,2010-11-02T22:56:13,2010-11-02T22:56:13,Fluxicon Disco, Variant 1,1,8,8
57,2010-11-02T23:39:05,2010-11-02T23:39:05,Fluxicon Disco, Variant 1,1,6,6
59,2012-03-28T19:28:37,2012-03-28T19:28:37,Fluxicon Disco, Variant 6,6,1,1
59,2012-03-28T19:28:47,2012-03-28T19:28:47,Fluxicon Disco, Variant 6,6,8,8
59,2012-03-28T22:32:57,2012-03-28T22:32:57,Fluxicon Disco, Variant 6,6,6,6
59,2012-03-28T22:32:57,2012-03-28T22:32:57,Fluxicon Disco, Variant 6,6,6,6
60,2011-04-06T22:35:49,2011-04-06T22:35:49,Fluxicon Disco, Variant 3,3,1,1
60,2011-04-06T22:36:04,2011-04-06T22:36:04,Fluxicon Disco, Variant 3,3,8,8
60,2011-04-07T22:41:23,2011-04-07T22:41:23,Fluxicon Disco, Variant 3,3,9,9
60,2011-04-13T15:49:14,2011-04-13T15:49:14,Fluxicon Disco, Variant 3,3,8,8
60,2011-04-13T15:49:22,2011-04-13T15:49:22,Fluxicon Disco, Variant 3,3,6,6
61,2011-09-16T14:04:39,2011-09-16T14:04:39,Fluxicon Disco, Variant 1,1,1,1
61,2011-09-16T14:18:12,2011-09-16T14:18:12,Fluxicon Disco, Variant 1,1,8,8
61,2011-09-16T22:04:46,2011-09-16T22:04:46,Fluxicon Disco, Variant 1,1,6,6
62,2012-05-28T22:16:47,2012-05-28T22:16:47,Fluxicon Disco, Variant 5,5,1,1
62,2012-05-28T22:18:27,2012-05-28T22:18:27,Fluxicon Disco, Variant 5,5,6,6
64,2011-04-14T22:54:28,2011-04-14T22:54:28,Fluxicon Disco, Variant 69,69,1,1
64,2011-04-14T22:54:46,2011-04-14T22:54:46,Fluxicon Disco, Variant 69,69,1,1
64,2011-04-15T17:41:19,2011-04-15T17:41:19,Fluxicon Disco, Variant 69,69,9,9
64,2011-04-27T17:30:04,2011-04-27T17:30:04,Fluxicon Disco, Variant 69,69,8,8
64,2011-04-27T17:30:13,2011-04-27T17:30:13,Fluxicon Disco, Variant 69,69,9,9
64,2011-05-06T16:42:13,2011-05-06T16:42:13,Fluxicon Disco, Variant 69,69,8,8
64,2011-05-06T16:42:28,2011-05-06T16:42:28,Fluxicon Disco, Variant 69,69,6,6
66,2012-06-26T15:46:53,2012-06-26T15:46:53,Fluxicon Disco, Variant 1,1,1,1
66,2012-06-26T15:47:39,2012-06-26T15:47:39,Fluxicon Disco, Variant 1,1,8,8
66,2012-06-26T20:05:58,2012-06-26T20:05:58,Fluxicon Disco, Variant 1,1,6,6
67,2010-12-30T23:03:15,2010-12-30T23:03:15,Fluxicon Disco, Variant 1,1,1,1
67,2011-01-11T16:40:08,2011-01-11T16:40:08,Fluxicon Disco, Variant 1,1,8,8
67,2011-01-13T19:45:18,2011-01-13T19:45:18,Fluxicon Disco, Variant 1,1,6,6
68,2012-04-11T21:09:22,2012-04-11T21:09:22,Fluxicon Disco, Variant 1,1,1,1
68,2012-04-11T21:09:45,2012-04-11T21:09:45,Fluxicon Disco, Variant 1,1,8,8
68,2012-04-12T17:31:37,2012-04-12T17:31:37,Fluxicon Disco, Variant 1,1,6,6
70,2011-06-07T14:34:53,2011-06-07T14:34:53,Fluxicon Disco, Variant 2,2,1,1
70,2011-06-07T14:35:14,2011-06-07T14:35:14,Fluxicon Disco, Variant 2,2,8,8
70,2011-07-08T15:44:58,2011-07-08T15:44:58,Fluxicon Disco, Variant 2,2,9,9
70,2011-07-12T14:00:36,2011-07-12T14:00:36,Fluxicon Disco, Variant 2,2,6,6
71,2011-11-02T16:20:14,2011-11-02T16:20:14,Fluxicon Disco, Variant 1,1,1,1
71,2011-11-02T16:20:41,2011-11-02T16:20:41,Fluxicon Disco, Variant 1,1,8,8
71,2011-11-02T17:49:41,2011-11-02T17:49:41,Fluxicon Disco, Variant 1,1,6,6
72,2011-01-25T21:15:31,2011-01-25T21:15:31,Fluxicon Disco, Variant 1,1,1,1
72,2011-01-25T21:15:58,2011-01-25T21:15:58,Fluxicon Disco, Variant 1,1,8,8
72,2011-02-14T19:48:42,2011-02-14T19:48:42,Fluxicon Disco, Variant 1,1,6,6
73,2012-07-31T18:01:15,2012-07-31T18:01:15,Fluxicon Disco, Variant 5,5,1,1
73,2012-07-31T18:02:02,2012-07-31T18:02:02,Fluxicon Disco, Variant 5,5,6,6
74,2012-02-10T19:42:26,2012-02-10T19:42:26,Fluxicon Disco, Variant 70,70,6,6
75,2010-03-11T23:15:54,2010-03-11T23:15:54,Fluxicon Disco, Variant 4,4,1,1
75,2010-04-23T14:44:51,2010-04-23T14:44:51,Fluxicon Disco, Variant 4,4,1,1
75,2010-04-23T14:44:59,2010-04-23T14:44:59,Fluxicon Disco, Variant 4,4,8,8
75,2010-04-23T14:45:04,2010-04-23T14:45:04,Fluxicon Disco, Variant 4,4,6,6
76,2012-01-10T23:01:36,2012-01-10T23:01:36,Fluxicon Disco, Variant 5,5,1,1
76,2012-01-10T23:58:08,2012-01-10T23:58:08,Fluxicon Disco, Variant 5,5,6,6
78,2011-11-08T17:18:10,2011-11-08T17:18:10,Fluxicon Disco, Variant 1,1,1,1
78,2011-11-08T17:22:35,2011-11-08T17:22:35,Fluxicon Disco, Variant 1,1,8,8
78,2011-12-06T00:33:12,2011-12-06T00:33:12,Fluxicon Disco, Variant 1,1,6,6
80,2012-08-02T16:22:58,2012-08-02T16:22:58,Fluxicon Disco, Variant 1,1,1,1
80,2012-08-03T19:12:15,2012-08-03T19:12:15,Fluxicon Disco, Variant 1,1,8,8
80,2012-08-10T17:13:48,2012-08-10T17:13:48,Fluxicon Disco, Variant 1,1,6,6
81,2010-02-09T16:31:47,2010-02-09T16:31:47,Fluxicon Disco, Variant 13,13,1,1
81,2010-02-09T16:35:12,2010-02-09T16:35:12,Fluxicon Disco, Variant 13,13,8,8
81,2010-02-09T16:35:26,2010-02-09T16:35:26,Fluxicon Disco, Variant 13,13,9,9
81,2010-02-09T16:36:27,2010-02-09T16:36:27,Fluxicon Disco, Variant 13,13,9,9
81,2010-02-19T16:31:40,2010-02-19T16:31:40,Fluxicon Disco, Variant 13,13,8,8
81,2010-02-19T16:32:00,2010-02-19T16:32:00,Fluxicon Disco, Variant 13,13,6,6
84,2010-12-10T17:15:54,2010-12-10T17:15:54,Fluxicon Disco, Variant 1,1,1,1
84,2010-12-10T17:16:17,2010-12-10T17:16:17,Fluxicon Disco, Variant 1,1,8,8
84,2010-12-10T17:16:34,2010-12-10T17:16:34,Fluxicon Disco, Variant 1,1,6,6
85,2011-02-25T01:01:50,2011-02-25T01:01:50,Fluxicon Disco, Variant 1,1,1,1
85,2011-02-25T01:03:45,2011-02-25T01:03:45,Fluxicon Disco, Variant 1,1,8,8
85,2011-03-04T18:02:13,2011-03-04T18:02:13,Fluxicon Disco, Variant 1,1,6,6
86,2012-06-12T23:12:48,2012-06-12T23:12:48,Fluxicon Disco, Variant 2,2,1,1
86,2012-06-15T14:27:33,2012-06-15T14:27:33,Fluxicon Disco, Variant 2,2,8,8
86,2012-06-15T17:00:52,2012-06-15T17:00:52,Fluxicon Disco, Variant 2,2,9,9
86,2012-06-18T16:42:02,2012-06-18T16:42:02,Fluxicon Disco, Variant 2,2,6,6
87,2011-11-14T22:35:55,2011-11-14T22:35:55,Fluxicon Disco, Variant 40,40,1,1
87,2011-11-18T00:58:30,2011-11-18T00:58:30,Fluxicon Disco, Variant 40,40,8,8
87,2011-11-18T00:59:03,2011-11-18T00:59:03,Fluxicon Disco, Variant 40,40,9,9
87,2011-11-25T17:30:07,2011-11-25T17:30:07,Fluxicon Disco, Variant 40,40,6,6
87,2011-11-28T21:50:35,2011-11-28T21:50:35,Fluxicon Disco, Variant 40,40,8,8
87,2011-11-28T21:59:00,2011-11-28T21:59:00,Fluxicon Disco, Variant 40,40,9,9
87,2011-12-07T21:41:18,2011-12-07T21:41:18,Fluxicon Disco, Variant 40,40,6,6
88,2010-09-24T14:57:49,2010-09-24T14:57:49,Fluxicon Disco, Variant 59,59,1,1
88,2010-09-24T20:43:51,2010-09-24T20:43:51,Fluxicon Disco, Variant 59,59,1,1
88,2010-09-24T20:44:52,2010-09-24T20:44:52,Fluxicon Disco, Variant 59,59,9,9
88,2010-10-04T17:48:54,2010-10-04T17:48:54,Fluxicon Disco, Variant 59,59,8,8
88,2010-10-04T17:49:08,2010-10-04T17:49:08,Fluxicon Disco, Variant 59,59,6,6
90,2010-03-16T15:59:03,2010-03-16T15:59:03,Fluxicon Disco, Variant 1,1,1,1
90,2010-03-17T17:02:03,2010-03-17T17:02:03,Fluxicon Disco, Variant 1,1,8,8
90,2010-03-17T17:49:51,2010-03-17T17:49:51,Fluxicon Disco, Variant 1,1,6,6
91,2011-05-24T19:51:35,2011-05-24T19:51:35,Fluxicon Disco, Variant 1,1,1,1
91,2011-05-24T19:52:07,2011-05-24T19:52:07,Fluxicon Disco, Variant 1,1,8,8
91,2011-05-24T20:36:11,2011-05-24T20:36:11,Fluxicon Disco, Variant 1,1,6,6
92,2010-03-09T18:09:33,2010-03-09T18:09:33,Fluxicon Disco, Variant 1,1,1,1
92,2010-03-09T18:09:44,2010-03-09T18:09:44,Fluxicon Disco, Variant 1,1,8,8
92,2010-03-18T17:27:56,2010-03-18T17:27:56,Fluxicon Disco, Variant 1,1,6,6
93,2012-07-25T14:02:54,2012-07-25T14:02:54,Fluxicon Disco, Variant 1,1,1,1
93,2012-07-30T16:39:04,2012-07-30T16:39:04,Fluxicon Disco, Variant 1,1,8,8
93,2012-08-02T22:14:07,2012-08-02T22:14:07,Fluxicon Disco, Variant 1,1,6,6
94,2012-02-08T16:33:56,2012-02-08T16:33:56,Fluxicon Disco, Variant 1,1,1,1
94,2012-02-08T16:34:08,2012-02-08T16:34:08,Fluxicon Disco, Variant 1,1,8,8
94,2012-02-08T16:34:34,2012-02-08T16:34:34,Fluxicon Disco, Variant 1,1,6,6
95,2011-09-26T17:27:14,2011-09-26T17:27:14,Fluxicon Disco, Variant 1,1,1,1
95,2011-09-29T20:54:32,2011-09-29T20:54:32,Fluxicon Disco, Variant 1,1,8,8
95,2011-09-30T16:09:23,2011-09-30T16:09:23,Fluxicon Disco, Variant 1,1,6,6
96,2012-02-28T00:31:32,2012-02-28T00:31:32,Fluxicon Disco, Variant 6,6,1,1
96,2012-02-28T16:52:59,2012-02-28T16:52:59,Fluxicon Disco, Variant 6,6,8,8
96,2012-02-29T16:25:13,2012-02-29T16:25:13,Fluxicon Disco, Variant 6,6,6,6
96,2012-02-29T16:25:14,2012-02-29T16:25:14,Fluxicon Disco, Variant 6,6,6,6
98,2012-07-05T19:16:51,2012-07-05T19:16:51,Fluxicon Disco, Variant 1,1,1,1
98,2012-07-05T19:20:39,2012-07-05T19:20:39,Fluxicon Disco, Variant 1,1,8,8
98,2012-07-09T20:21:24,2012-07-09T20:21:24,Fluxicon Disco, Variant 1,1,6,6
99,2011-05-11T17:16:32,2011-05-11T17:16:32,Fluxicon Disco, Variant 1,1,1,1
99,2011-05-11T17:17:55,2011-05-11T17:17:55,Fluxicon Disco, Variant 1,1,8,8
99,2011-05-16T15:33:29,2011-05-16T15:33:29,Fluxicon Disco, Variant 1,1,6,6
101,2010-06-18T20:47:15,2010-06-18T20:47:15,Fluxicon Disco, Variant 7,7,3,3
101,2010-06-18T21:18:15,2010-06-18T21:18:15,Fluxicon Disco, Variant 7,7,1,1
101,2010-06-29T14:35:47,2010-06-29T14:35:47,Fluxicon Disco, Variant 7,7,8,8
101,2010-06-29T15:33:07,2010-06-29T15:33:07,Fluxicon Disco, Variant 7,7,6,6
102,2012-01-30T17:09:29,2012-01-30T17:09:29,Fluxicon Disco, Variant 1,1,1,1
102,2012-01-30T17:09:57,2012-01-30T17:09:57,Fluxicon Disco, Variant 1,1,8,8
102,2012-01-31T16:12:06,2012-01-31T16:12:06,Fluxicon Disco, Variant 1,1,6,6
103,2010-06-07T14:30:54,2010-06-07T14:30:54,Fluxicon Disco, Variant 71,71,1,1
103,2010-06-07T14:49:10,2010-06-07T14:49:10,Fluxicon Disco, Variant 71,71,1,1
103,2010-06-07T22:16:44,2010-06-07T22:16:44,Fluxicon Disco, Variant 71,71,8,8
103,2010-06-08T17:37:29,2010-06-08T17:37:29,Fluxicon Disco, Variant 71,71,9,9
103,2010-06-09T14:18:05,2010-06-09T14:18:05,Fluxicon Disco, Variant 71,71,8,8
103,2010-06-09T14:18:28,2010-06-09T14:18:28,Fluxicon Disco, Variant 71,71,2,2
103,2010-06-16T16:23:07,2010-06-16T16:23:07,Fluxicon Disco, Variant 71,71,6,6
104,2011-01-27T16:34:59,2011-01-27T16:34:59,Fluxicon Disco, Variant 1,1,1,1
104,2011-01-27T17:32:40,2011-01-27T17:32:40,Fluxicon Disco, Variant 1,1,8,8
104,2011-01-27T17:34:24,2011-01-27T17:34:24,Fluxicon Disco, Variant 1,1,6,6
108,2011-01-12T19:28:16,2011-01-12T19:28:16,Fluxicon Disco, Variant 1,1,1,1
108,2011-01-24T17:21:26,2011-01-24T17:21:26,Fluxicon Disco, Variant 1,1,8,8
108,2011-01-26T16:12:39,2011-01-26T16:12:39,Fluxicon Disco, Variant 1,1,6,6
109,2010-09-24T22:35:31,2010-09-24T22:35:31,Fluxicon Disco, Variant 3,3,1,1
109,2010-09-27T16:11:48,2010-09-27T16:11:48,Fluxicon Disco, Variant 3,3,8,8
109,2010-09-28T15:31:41,2010-09-28T15:31:41,Fluxicon Disco, Variant 3,3,9,9
